,综合得分,,,综合得分,,,,,,
纽约曼哈顿(40.00 -74.00),0.99,,纽约曼哈顿(40.00 -74.00),0.99,8,100-69,3,,No.1,九寨沟
南京市新街口地区(32.02 118.46),0.88,,南京市新街口地区(32.02 118.46),0.88,4,,8,,No.2,小岗村
内化达州拉斯维加斯,0.87,,内化达州拉斯维加斯,0.87,14,,4,,No.3,奉贤区
上海市奉贤区(30.92 121.47),0.78,,上海市奉贤区(30.92 121.47),0.78,3,,14,,No.4,新街口
雄安新区,0.6,,雄安新区,0.6,12,69-23,10,,No.5,黄石公园
宾夕法尼亚州切斯特布鲁克(41.12 -77.11),0.51,,宾夕法尼亚州切斯特布鲁克(41.12 -77.11),0.51,7,,12,,No.6,加利福尼亚州弗雷斯诺市
兰州市城关区,0.5,,兰州市城关区,0.5,10,,7,,No.7,宾夕法尼亚州切斯特布鲁克
纽约州安大略县,0.46,,纽约州安大略县,0.46,13,,13,,No.8,纽约曼哈顿
加利福尼亚州弗雷斯诺市（Fresno city）(37.00 -119),0.27,,加利福尼亚州弗雷斯诺市（Fresno city）(37.00 -119),0.27,6,,11,,No.9,张家界国家森林公园
小岗村(32.28 117.71),0.25,,小岗村(32.28 117.71),0.25,2,,2,,No.10,兰州市城关区
黔西南州纳灰村,0.23,,黔西南州纳灰村,0.23,11,,6,,No.11,黔西南州纳灰村
九寨沟(33.16 104.14),0.22,,九寨沟(33.16 104.14),0.22,1,22-0,5,,No.12,雄安新区
张家界国家森林公园,0.14,,张家界国家森林公园,0.14,9,,1,,No.13,纽约州安大略县
黄石公园(44.36  -110.30),0.08,,黄石公园(44.36  -110.30),0.08,5,,9,,No.14,内化达州拉斯维加斯
,,,,,,,,,,
,,,,,,,,,,
3,,,,,,,,,,
8,,,,,,,,,,
4,,,,,,,,,,
14,,,,,,,,,,
,,,,,,,,,,
5,,,,,,,,,,
1,,,,,,,,,,
9,,,,,,,,,,
,,,,,,,,,,
10,,,,,,,,,,
12,,,,,,,,,,
7,,,,,,,,,,
13,,,,,,,,,,
11,,,,,,,,,,
2,,,,,,,,,,
6,,,,,,,,,,
