,生物多样性 Mg ha^-1,人口密度 /km^2,离城市距离 km,人造光源总辐射 mcd/m^2,气候因素 cmd,GDP 亿元
九寨沟(33.16 104.14),6.826,109.98,277,0.004597,263.9,47.1
小岗村(32.28 117.71),1.275,73.34,94.3,0.1072,274.4,11.1
奉贤区(30.92 121.47),0.017,550.67,34.5,0.9704,281.3,272.7
新街口(32.02 118.46),0.013,480.25,0,1.672,319.5,201.3
黄石公园(44.36  -110.30),12.772,20.01,594,0.01138,269.9,50.6
加利福尼亚州弗雷斯诺市（Fresno city）(37.00 -119),1.117,116.53,142.6,0.09516,273.6,21.4
宾夕法尼亚州切斯特布鲁克(41.12 -77.11),0.103,75.12,23.8,0.689866,292.3,130.6
纽约曼哈顿(40.00 -74.00),0.008,598.4,0,1.630198,312.5,320.7
,"
Dubayah, R.O., J. Armston, S.P. Healey, Z. Yang, P.L. Patterson, S. Saarela, G. Stahl, L. Duncanson, and J.R. Kellner. 2022. GEDI L4B Gridded Aboveground Biomass Density, Version 2. ORNL DAAC, Oak Ridge, Tennessee, USA. https://doi.org/10.3334/ORNLDAAC/2017","Center for International Earth Science Information Network - CIESIN - Columbia University. 2018. Gridded Population of the World, Version 4 (GPWv4): Population Density, Revision 11. Palisades, New York: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/H49C6VHW. Accessed DAY MONTH YEAR.",123,"Falchi, Fabio; Cinzano, Pierantonio; Duriscoe, Dan; Kyba, Christopher C. M.; Elvidge, Christopher D.; Baugh, Kimberly; Portnov, Boris; Rybnikova, Nataliya A.; Furgoni, Riccardo (2016): Supplement to: The New World Atlas of Artificial Night Sky Brightness. V. 1.1. GFZ Data Services. https://doi.org/10.5880/GFZ.1.4.2016.001",1,
,,,,,,
九寨沟(33.16 104.14),1,九寨沟(33.16 104.14),,,,
小岗村(32.28 117.71),2,小岗村(32.28 117.71),,,,
上海市奉贤区(30.92 121.47),3,奉贤区(30.92 121.47),,,,
南京市新街口地区(32.02 118.46),4,新街口(32.02 118.46),,,,
黄石公园(44.36  -110.30),5,黄石公园(44.36  -110.30),,,,
加利福尼亚州弗雷斯诺市（Fresno city）(37.00 -119),6,加利福尼亚州弗雷斯诺市（Fresno city）(37.00 -119),,,,
宾夕法尼亚州切斯特布鲁克(41.12 -77.11),7,宾夕法尼亚州切斯特布鲁克(41.12 -77.11),,,,
纽约曼哈顿(40.00 -74.00),8,纽约曼哈顿(40.00 -74.00),,,,
张家界国家森林公园,9,29.18  110.26,,,,
兰州市城关区,10,36.03??103.49,,,,
黔西南州纳灰村,11,24.58  东经E：104.55,,,,
雄安新区,12,北纬N：39.01  东经E：116.06,,,,
纽约州安大略县,13,Latitude: 42.85 Longitude: -77.29.,,,,
内化达州拉斯维加斯,14,"36.18, -115.13",,,,
